Aziz Bhati Town,31.5654,74.405
Allama Iqbal Town,31.4892,74.2665
Sheikhupura,31.7496,73.8249
Cantonment,31.4838,74.3609
Sheikhupura,31.7077,73.9871
Wahga Town,31.5919,74.4798
Ravi Town,31.5796,74.3082
Wahga Town,31.6084,74.4232
Shalamar Town,31.5894,74.3397
Wahga Town,31.5876,74.4295
Ferozwala,31.6521,74.2788
Faisal Abad City,31.4007,73.1228
Aziz Bhati Town,31.5669,74.3848
Nishter Town,31.4191,74.3573
Data Ganj Bakhsh Town,31.5787,74.2929
Nishter Town,31.4445,74.3384
Aziz Bhati Town,31.5446,74.4055
Nishter Town,31.4494,74.3367
Faisal Abad City,31.3994,73.1094
Data Ganj Bakhsh Town,31.5653,74.2795
Muridkey,31.7543,74.262
Allama Iqbal Town,31.467,74.2277
Faisal Abad City,31.4225,73.1038
RAWAL,33.6442,73.0622
Shalamar Town,31.5887,74.3415
Sheikhupura,31.7379,73.8745
Allama Iqbal Town,31.2598,74.1551
Gulberg Town,31.5551,74.3418
Sharaqpur,31.4615,74.0981
Muridkey,31.7707,74.1147
Data Ganj Bakhsh Town,31.5685,74.3229
Ravi Town,31.6173,74.2919
Data Ganj Bakhsh Town,31.5595,74.3144
Gulberg Town,31.5619,74.3548
Allama Iqbal Town,31.3433,74.1333
Allama Iqbal Town,31.5291,74.2838
Wahga Town,31.6154,74.4191
Wahga Town,31.5887,74.4813
Wahga Town,31.5941,74.4742
Allama Iqbal Town,31.4461,74.2048
Faisal Abad City,31.4478,73.0798
Data Ganj Bakhsh Town,31.5678,74.3039
Gulberg Town,31.5029,74.3267
Cantonment,31.4501,74.3553
Allama Iqbal Town,31.4372,74.2073
Shalamar Town,31.5804,74.3899
Allama Iqbal Town,31.4573,74.2793
Samanabad Town,31.547,74.288
Shalamar Town,31.5849,74.3549
Ravi Town,31.6239,74.2902
Shalamar Town,31.587,74.3575
Allama Iqbal Town,31.4509,74.31
Allama Iqbal Town,31.4547,74.3074
Wahga Town,31.5885,74.4042
Ferozwala,31.6664,74.2809
Wahga Town,31.5889,74.3854
Allama Iqbal Town,31.4552,74.2178
Nishter Town,31.3047,74.3193
Data Ganj Bakhsh Town,31.5567,74.3081
Ravi Town,31.5918,74.319
Samanabad Town,31.5154,74.3219
Faisal Abad City,31.4094,73.117
Gulberg Town,31.5121,74.3598
Samanabad Town,31.5383,74.2785
Cantonment,31.4855,74.4325
Data Ganj Bakhsh Town,31.5604,74.2911
Wahga Town,31.5932,74.4662
Allama Iqbal Town,31.5138,74.2563
RAWAL,33.6244,73.0347
Ferozwala,31.6518,74.2792
Samanabad Town,31.5339,74.3136
Allama Iqbal Town,31.3568,74.1238
Sheikhupura,31.7464,73.8242
Samanabad Town,31.5389,74.2666
Sharaqpur,31.4608,74.0974
Data Ganj Bakhsh Town,31.571,74.3001
Faisal Abad City,31.3952,73.0968
Wahga Town,31.5914,74.4488
Gulberg Town,31.5096,74.3433
Aziz Bhati Town,31.5822,74.4083
Data Ganj Bakhsh Town,31.5732,74.3293
Wahga Town,31.6028,74.4171
Aziz Bhati Town,31.5641,74.391
Sheikhupura,31.661,73.9349
Data Ganj Bakhsh Town,31.5615,74.3012
Wahga Town,31.5862,74.4908
Ravi Town,31.5792,74.3101
Aziz Bhati Town,31.5826,74.4129
Shalamar Town,31.5892,74.3367
Allama Iqbal Town,31.4255,74.2464
Data Ganj Bakhsh Town,31.5586,74.3023
Nishter Town,31.4251,74.3842
Safdarabad,31.8364,73.6129
Sheikhupura,31.7343,73.8872
Gulberg Town,31.5628,74.3428
Data Ganj Bakhsh Town,31.5653,74.2924
Faisal Abad City,31.3835,73.0735
Muridkey,31.8027,74.1794
Ravi Town,31.5794,74.3065
Allama Iqbal Town,31.4701,74.2831
Wahga Town,31.5933,74.4832
Gulberg Town,31.5739,74.3624
Faisal Abad City,31.4064,73.0718
Data Ganj Bakhsh Town,31.5616,74.2889
Samanabad Town,31.5494,74.2827
Allama Iqbal Town,31.4579,74.2272
Sheikhupura,31.692,73.9746
